freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
1452000000.0,0.13131586237064818,-0.10079342229834878,-0.00781269836831441,-0.011317542572716104,-0.0035763050911359236,-0.007218228655989305,-99.22851562,-99.20898438,-99.20898438,-99.23339844,-99.23339844,-100.2441406,-100.2392578,-100.2636719,-100.2246094,-100.2441406,-60.03417969,-60.02441406,-60.05371094,-60.0,-60.0390625,-65.27832031,-65.22949219,-65.25390625,-65.24902344,-65.25390625
1454000000.0,0.13205656504620455,-0.10287589083433817,-0.007875763773663613,-0.01135305272406213,-0.002315083824570948,-0.0073317174659694815,-99.21386719,-99.21875,-99.22851562,-99.16503906,-99.21875,-100.2050781,-100.2294922,-100.2050781,-100.2099609,-100.2148438,-60.07324219,-60.06347656,-60.05371094,-60.078125,-60.06347656,-65.24414062,-65.23925781,-65.25390625,-65.24414062,-65.21972656
1456000000.0,0.1320305860076173,-0.1029862185117535,-0.007940720765033016,-0.01138409847579075,-0.001079439459280916,-0.007649920340612982,-99.26757812,-99.20410156,-99.19921875,-99.20898438,-99.21875,-100.2197266,-100.2246094,-100.234375,-100.2294922,-100.2148438,-60.06347656,-60.06835938,-60.07324219,-60.08300781,-60.08300781,-65.26367188,-65.20996094,-65.26855469,-65.25390625,-65.234375
1458000000.0,0.1321501978569647,-0.10533987567525906,-0.008003540290761429,-0.011416854603592848,0.00011130757855096387,-0.00816423490126323,-99.21386719,-99.20898438,-99.2578125,-99.23339844,-99.19433594,-100.2246094,-100.2246094,-100.2099609,-100.2636719,-100.2294922,-60.06347656,-60.06347656,-60.08789062,-60.08789062,-60.04394531,-65.29296875,-65.25878906,-65.25390625,-65.26367188,-65.26855469
1460000000.0,0.1333158170471673,-0.10750067754060647,-0.008067019590914572,-0.01144994887459829,0.0012248443180862844,-0.00886266953048234,-99.21875,-99.17480469,-99.23828125,-99.19921875,-99.22851562,-100.2001953,-100.1855469,-100.1953125,-100.2392578,-100.234375,-60.06347656,-60.08789062,-60.05859375,-60.07324219,-60.02441406,-65.28320312,-65.24414062,-65.26367188,-65.23925781,-65.234375
1462000000.0,0.13365294334439823,-0.10963520114589945,-0.008136811719802385,-0.011481401235829669,0.002233035716872966,-0.009731685884231341,-99.23828125,-99.22851562,-99.23339844,-99.22851562,-99.23828125,-100.2294922,-100.234375,-100.234375,-100.2294922,-100.2392578,-60.04882812,-60.04882812,-60.1171875,-60.03417969,-60.08300781,-65.32226562,-65.26367188,-65.25390625,-65.26367188,-65.25878906
1464000000.0,0.13343328743940097,-0.11150806151639915,-0.008197192468013082,-0.011515142129797033,0.003125395149818193,-0.010774227853122204,-99.20410156,-99.20898438,-99.22363281,-99.19921875,-99.21875,-100.2246094,-100.2148438,-100.2441406,-100.2539062,-100.2099609,-60.1171875,-60.08789062,-60.09277344,-60.08300781,-60.05859375,-65.22949219,-65.26855469,-65.26855469,-65.2734375,-65.30273438
1466000000.0,0.13475210370606167,-0.11316908775289596,-0.008262377932952682,-0.011546991173477543,0.0038750050404666634,-0.011950448742623724,-99.24804688,-99.20898438,-99.22363281,-99.2578125,-99.20898438,-100.2246094,-100.2197266,-100.2539062,-100.2294922,-100.2148438,-60.09765625,-60.08300781,-60.06347656,-60.07324219,-60.10253906,-65.29785156,-65.28808594,-65.28808594,-65.28320312,-65.28320312
1468000000.0,0.1344012669990281,-0.11525958997109956,-0.008328426810187408,-0.011573284814134647,0.004464547336834644,-0.013251640131945094,-99.20410156,-99.19921875,-99.19921875,-99.21875,-99.23339844,-100.2001953,-100.2392578,-100.2441406,-100.234375,-100.2197266,-60.08789062,-60.06835938,-60.09765625,-60.05371094,-60.08789062,-65.29785156,-65.25878906,-65.2734375,-65.27832031,-65.28320312
1470000000.0,0.13509835351933086,-0.11837306121207834,-0.008396180518578033,-0.011607592801197447,0.004876996189348192,-0.014657505513216871,-99.18457031,-99.19433594,-99.21386719,-99.22851562,-99.17480469,-100.1904297,-100.1953125,-100.2148438,-100.1757812,-100.2050781,-60.12207031,-60.09277344,-60.08300781,-60.078125,-60.1171875,-65.32714844,-65.27832031,-65.29296875,-65.2734375,-65.27832031
