freqs,amp_real,amp_imag,hot_real,hot_imag,cold_real,cold_imag,sa_hot_0,sa_hot_1,sa_hot_2,sa_hot_3,sa_hot_4,sa_cold_0,sa_cold_1,sa_cold_2,sa_cold_3,sa_cold_4,dut_hot_0,dut_hot_1,dut_hot_2,dut_hot_3,dut_hot_4,dut_cold_0,dut_cold_1,dut_cold_2,dut_cold_3,dut_cold_4
1456000000.0,-0.10274227093774439,0.17851822603588516,-0.007940720765033016,-0.01138409847579075,-0.001079439459280916,-0.007649920340612982,-99.26757812,-99.20410156,-99.19921875,-99.20898438,-99.21875,-100.2197266,-100.2246094,-100.234375,-100.2294922,-100.2148438,-65.72753906,-65.73242188,-65.71777344,-65.73242188,-65.71289062,-71.04003906,-71.015625,-71.02050781,-71.02050781,-71.00585938
1458000000.0,-0.09875147374628206,0.17876651119227557,-0.008003540290761429,-0.011416854603592848,0.00011130757855096387,-0.00816423490126323,-99.21386719,-99.20898438,-99.2578125,-99.23339844,-99.19433594,-100.2246094,-100.2246094,-100.2099609,-100.2636719,-100.2294922,-65.73730469,-65.7421875,-65.72753906,-65.72753906,-65.73242188,-71.04003906,-71.02539062,-71.02539062,-71.0546875,-71.03027344
1460000000.0,-0.09559604084833681,0.17879581721507942,-0.008067019590914572,-0.01144994887459829,0.0012248443180862844,-0.00886266953048234,-99.21875,-99.17480469,-99.23828125,-99.19921875,-99.22851562,-100.2001953,-100.1855469,-100.1953125,-100.2392578,-100.234375,-65.73242188,-65.75683594,-65.72753906,-65.76171875,-65.73730469,-71.02539062,-71.00585938,-71.0546875,-71.015625,-70.99121094
1462000000.0,-0.09044628148349847,0.17865068073274962,-0.008136811719802385,-0.011481401235829669,0.002233035716872966,-0.009731685884231341,-99.23828125,-99.22851562,-99.23339844,-99.22851562,-99.23828125,-100.2294922,-100.234375,-100.234375,-100.2294922,-100.2392578,-65.72753906,-65.75195312,-65.75195312,-65.79101562,-65.75683594,-70.99121094,-71.04492188,-71.01074219,-71.00585938,-71.04003906
1464000000.0,-0.08713693368076701,0.17840802179641407,-0.008197192468013082,-0.011515142129797033,0.003125395149818193,-0.010774227853122204,-99.20410156,-99.20898438,-99.22363281,-99.19921875,-99.21875,-100.2246094,-100.2148438,-100.2441406,-100.2539062,-100.2099609,-65.75683594,-65.75195312,-65.7421875,-65.72753906,-65.72265625,-71.00585938,-71.02539062,-71.03027344,-71.03027344,-71.03027344
1466000000.0,-0.0830022147563483,0.17861856321480338,-0.008262377932952682,-0.011546991173477543,0.0038750050404666634,-0.011950448742623724,-99.24804688,-99.20898438,-99.22363281,-99.2578125,-99.20898438,-100.2246094,-100.2197266,-100.2539062,-100.2294922,-100.2148438,-65.78125,-65.72265625,-65.75195312,-65.72753906,-65.71777344,-71.03515625,-71.06445312,-71.01074219,-71.03027344,-71.04980469
1468000000.0,-0.07956944897490717,0.17782926843164704,-0.008328426810187408,-0.011573284814134647,0.004464547336834644,-0.013251640131945094,-99.20410156,-99.19921875,-99.19921875,-99.21875,-99.23339844,-100.2001953,-100.2392578,-100.2441406,-100.234375,-100.2197266,-65.73242188,-65.77148438,-65.74707031,-65.72265625,-65.75195312,-71.04003906,-71.03515625,-71.01074219,-71.05957031,-71.02539062
1470000000.0,-0.07567082820891444,0.1784640333528862,-0.008396180518578033,-0.011607592801197447,0.004876996189348192,-0.014657505513216871,-99.18457031,-99.19433594,-99.21386719,-99.22851562,-99.17480469,-100.1904297,-100.1953125,-100.2148438,-100.1757812,-100.2050781,-65.77148438,-65.74707031,-65.76171875,-65.73242188,-65.7421875,-71.03027344,-71.04492188,-71.03515625,-71.02539062,-71.00585938
1472000000.0,-0.0719845830014535,0.17790637317194913,-0.008461398744396737,-0.011635359646872914,0.005100531335940418,-0.016132419239998624,-99.21386719,-99.21386719,-99.22851562,-99.23339844,-99.24804688,-100.2246094,-100.2490234,-100.234375,-100.2539062,-100.234375,-65.7421875,-65.75195312,-65.75195312,-65.77148438,-65.78125,-71.04003906,-71.02539062,-71.015625,-71.02539062,-71.06933594
1474000000.0,-0.06866086271056736,0.17741243105733465,-0.00852397038793974,-0.011668362435520723,0.005131761430742558,-0.017660306847516984,-99.16015625,-99.23828125,-99.20898438,-99.21875,-99.24804688,-100.1757812,-100.1904297,-100.2099609,-100.2246094,-100.2294922,-65.78613281,-65.74707031,-65.75195312,-65.78613281,-65.75195312,-71.03515625,-71.02050781,-71.0546875,-71.03515625,-71.00585938
1476000000.0,-0.06431653763349396,0.17692909363759052,-0.008593303903483566,-0.011700779541454475,0.004954145530391671,-0.01922015425469435,-99.23828125,-99.19433594,-99.22363281,-99.22363281,-99.23339844,-100.2636719,-100.1953125,-100.234375,-100.2441406,-100.234375,-65.78125,-65.79589844,-65.79589844,-65.78613281,-65.76660156,-71.03515625,-71.04492188,-71.0546875,-71.03515625,-71.04492188
1478000000.0,-0.060300730522219764,0.17574479057754644,-0.00866175703421046,-0.011727574364023372,0.004573851152376476,-0.020770752576223236,-99.2578125,-99.20410156,-99.21386719,-99.21386719,-99.20898438,-100.234375,-100.2050781,-100.2636719,-100.2832031,-100.2392578,-65.75683594,-65.79101562,-65.76660156,-65.79101562,-65.76171875,-71.06933594,-71.0546875,-71.02050781,-71.02050781,-71.04003906
1480000000.0,-0.0574229919918171,0.1757596161933488,-0.008725172818235859,-0.011755826316561446,0.0039909392273642305,-0.022296242140728464,-99.21875,-99.20410156,-99.19921875,-99.20410156,-99.20898438,-100.1855469,-100.2197266,-100.2490234,-100.2636719,-100.2099609,-65.76660156,-65.78613281,-65.78613281,-65.77636719,-65.77148438,-71.04003906,-71.02050781,-71.04003906,-71.02050781,-71.0546875
1482000000.0,-0.05296154820981015,0.17446760816621945,-0.008788477354583208,-0.011786220138994765,0.0032082320474016153,-0.023763755148085243,-99.22851562,-99.19433594,-99.20898438,-99.21875,-99.24316406,-100.2197266,-100.2294922,-100.2636719,-100.2392578,-100.2441406,-65.83496094,-65.78125,-65.78613281,-65.8203125,-65.8203125,-71.04980469,-71.06445312,-71.06933594,-71.05957031,-71.07910156
1484000000.0,-0.050539171609627724,0.17358633409061133,-0.008862306275370204,-0.011815878893084185,0.002235957208594217,-0.025155747550830544,-99.19433594,-99.22851562,-99.20410156,-99.20898438,-99.22851562,-100.1904297,-100.2050781,-100.2392578,-100.1855469,-100.2001953,-65.79589844,-65.83984375,-65.8203125,-65.77148438,-65.81542969,-71.07421875,-71.07421875,-71.03027344,-71.04980469,-71.04980469
1486000000.0,-0.04642110402960909,0.1726522723965265,-0.008929702053141784,-0.011844045081920596,0.0010850387514826807,-0.0264382504188629,-99.22851562,-99.24316406,-99.20898438,-99.19921875,-99.24316406,-100.234375,-100.2246094,-100.2441406,-100.2392578,-100.2148438,-65.83496094,-65.83984375,-65.83984375,-65.83496094,-65.85449219,-71.07910156,-71.08886719,-71.09375,-71.06933594,-71.07421875
1488000000.0,-0.04271572597964075,0.17216497063054273,-0.008994932094371149,-0.011872800928362867,-0.00022968352297183644,-0.027599874811745084,-99.21875,-99.19921875,-99.19433594,-99.22851562,-99.16503906,-100.1953125,-100.2246094,-100.2587891,-100.1806641,-100.234375,-65.81542969,-65.859375,-65.84960938,-65.859375,-65.84472656,-71.07421875,-71.10351562,-71.08398438,-71.10839844,-71.07910156
1490000000.0,-0.03893766047181476,0.1716633393350316,-0.009063585944938958,-0.011903513244649796,-0.0016855297437536805,-0.0286098618015745,-99.26269531,-99.22851562,-99.19921875,-99.25292969,-99.19921875,-100.2099609,-100.2490234,-100.2099609,-100.2197266,-100.2392578,-65.87402344,-65.87402344,-65.86425781,-65.82519531,-65.78613281,-71.10839844,-71.14257812,-71.11816406,-71.10839844,-71.08886719
1492000000.0,-0.03548876071266866,0.16970834768524873,-0.00913307236793888,-0.01193073193622578,-0.0032756714174041715,-0.02945286960906943,-99.21875,-99.23828125,-99.22363281,-99.22363281,-99.25292969,-100.2148438,-100.2099609,-100.2294922,-100.2587891,-100.2490234,-65.859375,-65.92773438,-65.84472656,-65.87402344,-65.88378906,-71.11816406,-71.09375,-71.13769531,-71.08886719,-71.1328125
1494000000.0,-0.032204047337979685,0.168851710064422,-0.009199179581063324,-0.011959102772400372,-0.004971928419331148,-0.03012458569368894,-99.20410156,-99.18457031,-99.25292969,-99.19433594,-99.23828125,-100.2099609,-100.2050781,-100.2197266,-100.234375,-100.1757812,-65.90332031,-65.8984375,-65.91308594,-65.95703125,-65.88867188,-71.14257812,-71.12304688,-71.14257812,-71.16210938,-71.14257812
1496000000.0,-0.028917288862462483,0.16789887318779606,-0.00926814850357495,-0.011988283099800379,-0.00674286302675898,-0.030595345200618483,-99.23339844,-99.23339844,-99.25292969,-99.22851562,-99.23339844,-100.2490234,-100.2294922,-100.2246094,-100.2392578,-100.2148438,-65.9375,-65.91308594,-65.93261719,-65.92773438,-65.94238281,-71.18164062,-71.15722656,-71.16699219,-71.20117188,-71.18652344
1498000000.0,-0.025804505473796757,0.16702302871053668,-0.009329130962551337,-0.01201645570612995,-0.00857238064968332,-0.030864374186369146,-99.21386719,-99.21386719,-99.23339844,-99.24316406,-99.23339844,-100.1855469,-100.2197266,-100.2197266,-100.2197266,-100.1953125,-65.9765625,-65.95214844,-65.93261719,-65.94238281,-65.99609375,-71.19140625,-71.19628906,-71.19140625,-71.20605469,-71.14746094
1500000000.0,-0.02211932921461319,0.16530000489718297,-0.009400940889418456,-0.012043479270944896,-0.010436079202228684,-0.030927735486643983,-99.23339844,-99.20898438,-99.20898438,-99.1796875,-99.19921875,-100.1757812,-100.2246094,-100.1660156,-100.2050781,-100.2294922,-66.00585938,-65.96191406,-65.9765625,-65.9765625,-65.9375,-71.20117188,-71.18652344,-71.16699219,-71.22558594,-71.18652344
1502000000.0,-0.01893985937815385,0.16423603765684577,-0.009471590281332288,-0.012069763440922423,-0.012303139892703523,-0.030779875598101226,-99.21875,-99.25292969,-99.23828125,-99.22363281,-99.23828125,-100.2246094,-100.2197266,-100.2441406,-100.2294922,-100.2294922,-66.00097656,-66.03027344,-66.04492188,-66.00097656,-65.9765625,-71.27929688,-71.24511719,-71.23535156,-71.22070312,-71.24023438
1504000000.0,-0.015754026648697465,0.1629026398846817,-0.009535616886987983,-0.012096814666497408,-0.014141497257987664,-0.030430417377807863,-99.20898438,-99.19433594,-99.22851562,-99.20410156,-99.20410156,-100.2001953,-100.1464844,-100.1855469,-100.1757812,-100.1904297,-66.03515625,-66.0546875,-66.03515625,-66.015625,-66.02539062,-71.25488281,-71.25488281,-71.28417969,-71.28417969,-71.27929688
1506000000.0,-0.012204208240111,0.16110838956284013,-0.009604031527050033,-0.012119305547547808,-0.01593670630530591,-0.029871086707058517,-99.21386719,-99.23339844,-99.24804688,-99.24316406,-99.2578125,-100.1953125,-100.2050781,-100.2001953,-100.2148438,-100.2148438,-66.04980469,-66.07910156,-66.05957031,-66.05957031,-66.08886719,-71.2890625,-71.31835938,-71.29882812,-71.30859375,-71.29882812
1508000000.0,-0.009587427760674103,0.1604016563018309,-0.009671298642609714,-0.012143899000227535,-0.017659651707073978,-0.029122291872921723,-99.21875,-99.24316406,-99.19433594,-99.22363281,-99.24316406,-100.2050781,-100.2099609,-100.2001953,-100.1904297,-100.2197266,-66.09863281,-66.09863281,-66.06933594,-66.0546875,-66.09375,-71.328125,-71.28417969,-71.28417969,-71.32324219,-71.30859375
